student_id,enrollment_year,gender,semester,academic_year,semester_in_year,semester_year,major,credits_attempted,credits_earned,gpa,cumulative_credits,cumulative_gpa,library_visits,semester_training_points,cumulative_training_points,status
2001_0000,2001,Male,1,1,Fall,2001,SE,8,6,1.22,6,1.22,12,22,22,active
2001_0000,2001,Male,2,1,Spring,2001,SE,9,9,1.88,15,1.616,12,24,46,active
2001_0000,2001,Male,3,2,Fall,2002,SE,8,8,2.17,23,1.809,5,26,72,dropped_out
2001_0000,2001,Male,4,2,Spring,2002,SE,0,0,0.0,23,1.809,0,0,72,dropped_out
2001_0000,2001,Male,5,3,Fall,2003,SE,0,0,0.0,23,1.809,0,0,72,dropped_out
2001_0000,2001,Male,6,3,Spring,2003,SE,0,0,0.0,23,1.809,0,0,72,dropped_out
2001_0000,2001,Male,7,4,Fall,2004,SE,0,0,0.0,23,1.809,0,0,72,dropped_out
2001_0000,2001,Male,8,4,Spring,2004,SE,0,0,0.0,23,1.809,0,0,72,dropped_out
2001_0001,2001,Female,1,1,Fall,2001,SE,15,15,3.21,15,3.21,25,43,43,active
2001_0001,2001,Female,2,1,Spring,2001,SE,13,13,3.02,28,3.122,24,46,89,active
2001_0001,2001,Female,3,2,Fall,2002,SE,17,17,2.93,45,3.049,11,41,130,active
2001_0001,2001,Female,4,2,Spring,2002,SE,17,17,3.53,62,3.181,38,75,205,active
2001_0001,2001,Female,5,3,Fall,2003,SE,13,13,3.38,75,3.216,9,46,251,active
2001_0001,2001,Female,6,3,Spring,2003,SE,15,15,3.55,90,3.271,34,75,326,active
2001_0001,2001,Female,7,4,Fall,2004,SE,13,13,3.2,103,3.262,22,44,370,active
2001_0001,2001,Female,8,4,Spring,2004,SE,13,11,3.11,114,3.248,22,47,417,active
2001_0002,2001,Male,1,1,Fall,2001,SE,13,13,3.63,13,3.63,19,75,75,active
2001_0002,2001,Male,2,1,Spring,2001,SE,14,13,3.22,26,3.425,15,50,125,dropped_out
2001_0002,2001,Male,3,2,Fall,2002,SE,0,0,0.0,26,3.425,0,0,125,dropped_out
2001_0002,2001,Male,4,2,Spring,2002,SE,0,0,0.0,26,3.425,0,0,125,dropped_out
2001_0002,2001,Male,5,3,Fall,2003,SE,0,0,0.0,26,3.425,0,0,125,dropped_out
2001_0002,2001,Male,6,3,Spring,2003,SE,0,0,0.0,26,3.425,0,0,125,dropped_out
2001_0002,2001,Male,7,4,Fall,2004,SE,0,0,0.0,26,3.425,0,0,125,dropped_out
2001_0002,2001,Male,8,4,Spring,2004,SE,0,0,0.0,26,3.425,0,0,125,dropped_out
2001_0003,2001,Female,1,1,Fall,2001,SE,15,15,2.82,15,2.82,15,36,36,active
2001_0003,2001,Female,2,1,Spring,2001,SE,18,18,3.24,33,3.049,32,39,75,active
2001_0003,2001,Female,3,2,Fall,2002,SE,18,18,3.35,51,3.155,40,46,121,active
2001_0003,2001,Female,4,2,Spring,2002,SE,16,16,3.38,67,3.209,35,47,168,active
2001_0003,2001,Female,5,3,Fall,2003,SE,14,14,3.71,81,3.296,19,75,243,active
2001_0003,2001,Female,6,3,Spring,2003,SE,17,16,3.5,97,3.329,29,75,318,active
2001_0003,2001,Female,7,4,Fall,2004,SE,12,12,3.02,109,3.295,22,46,364,active
2001_0003,2001,Female,8,4,Spring,2004,SE,15,15,3.08,124,3.269,30,36,400,active
2001_0004,2001,Female,1,1,Fall,2001,SE,12,12,3.15,12,3.15,13,39,39,active
2001_0004,2001,Female,2,1,Spring,2001,SE,18,18,2.33,30,2.658,5,46,85,active
2001_0004,2001,Female,3,2,Fall,2002,SE,17,13,3.73,43,2.982,22,75,160,active
2001_0004,2001,Female,4,2,Spring,2002,SE,11,9,2.83,52,2.956,4,25,185,dropped_out
2001_0004,2001,Female,5,3,Fall,2003,SE,0,0,0.0,52,2.956,0,0,185,dropped_out
2001_0004,2001,Female,6,3,Spring,2003,SE,0,0,0.0,52,2.956,0,0,185,dropped_out
2001_0004,2001,Female,7,4,Fall,2004,SE,0,0,0.0,52,2.956,0,0,185,dropped_out
2001_0004,2001,Female,8,4,Spring,2004,SE,0,0,0.0,52,2.956,0,0,185,dropped_out
2001_0005,2001,Male,1,1,Fall,2001,SE,20,15,3.43,15,3.43,10,36,36,active
2001_0005,2001,Male,2,1,Spring,2001,SE,18,17,2.61,32,2.994,7,46,82,active
2001_0005,2001,Male,3,2,Fall,2002,SE,19,12,2.95,44,2.982,11,38,120,active
2001_0005,2001,Male,4,2,Spring,2002,SE,16,14,3.68,58,3.151,14,75,195,active
2001_0005,2001,Male,5,3,Fall,2003,SE,15,11,2.74,69,3.085,26,40,235,active
2001_0005,2001,Male,6,3,Spring,2003,SE,22,21,3.51,90,3.184,12,75,310,active
2001_0005,2001,Male,7,4,Fall,2004,SE,11,9,2.82,99,3.151,21,41,351,active
2001_0005,2001,Male,8,4,Spring,2004,SE,15,14,3.91,113,3.245,18,75,426,active
2001_0006,2001,Male,1,1,Fall,2001,SE,19,19,3.23,19,3.23,32,43,43,active
2001_0006,2001,Male,2,1,Spring,2001,SE,17,17,2.89,36,3.069,19,52,95,active
2001_0006,2001,Male,3,2,Fall,2002,SE,23,23,3.22,59,3.128,38,43,138,active
2001_0006,2001,Male,4,2,Spring,2002,SE,21,17,2.68,76,3.028,17,49,187,active
2001_0006,2001,Male,5,3,Fall,2003,SE,22,22,3.2,98,3.067,37,48,235,active
2001_0006,2001,Male,6,3,Spring,2003,SE,24,24,3.22,122,3.097,58,50,285,active
2001_0006,2001,Male,7,4,Fall,2004,SE,18,16,3.05,138,3.091,41,46,331,active
2001_0006,2001,Male,8,4,Spring,2004,SE,24,24,3.27,162,3.118,24,39,370,active
2001_0007,2001,Female,1,1,Fall,2001,SE,22,22,4.0,22,4.0,53,85,85,active
2001_0007,2001,Female,2,1,Spring,2001,SE,21,21,4.0,43,4.0,37,85,170,active
2001_0007,2001,Female,3,2,Fall,2002,SE,22,22,4.0,65,4.0,49,85,255,active
2001_0007,2001,Female,4,2,Spring,2002,SE,19,19,4.0,84,4.0,54,85,340,active
2001_0007,2001,Female,5,3,Fall,2003,SE,18,18,3.91,102,3.984,51,85,425,active
2001_0007,2001,Female,6,3,Spring,2003,SE,17,17,4.0,119,3.986,39,85,510,active
2001_0007,2001,Female,7,4,Fall,2004,SE,10,10,3.95,129,3.984,30,85,595,active
2001_0007,2001,Female,8,4,Spring,2004,SE,9,9,3.85,138,3.975,33,85,680,active
2001_0008,2001,Male,1,1,Fall,2001,SE,12,12,3.06,12,3.06,16,37,37,active
2001_0008,2001,Male,2,1,Spring,2001,SE,19,18,2.92,30,2.976,13,46,83,active
2001_0008,2001,Male,3,2,Fall,2002,SE,18,18,2.97,48,2.974,14,44,127,active
2001_0008,2001,Male,4,2,Spring,2002,SE,15,14,2.79,62,2.932,15,34,161,active
2001_0008,2001,Male,5,3,Fall,2003,SE,14,14,2.92,76,2.93,27,39,200,active
2001_0008,2001,Male,6,3,Spring,2003,SE,17,14,2.83,90,2.914,20,38,238,active
2001_0008,2001,Male,7,4,Fall,2004,SE,13,13,3.26,103,2.958,22,34,272,active
2001_0008,2001,Male,8,4,Spring,2004,SE,16,16,3.29,119,3.003,40,39,311,active
2001_0009,2001,Male,1,1,Fall,2001,SE,9,9,2.2,9,2.2,5,25,25,active
2001_0009,2001,Male,2,1,Spring,2001,SE,10,5,1.27,14,1.868,6,37,62,active
2001_0009,2001,Male,3,2,Fall,2002,SE,13,12,2.23,26,2.035,17,28,90,active
2001_0009,2001,Male,4,2,Spring,2002,SE,14,14,2.55,40,2.215,16,31,121,active
